Date,Open,High,Low,Close,Volume,Adj Close
2007-10-09,119.38,121.77,118.77,119.13,16200,119.13
2007-10-08,115.15,117.06,114.73,116.97,11000,116.97
2007-10-05,110.19,113.19,109.81,112.81,6800,112.81
2007-10-04,111.75,112.52,109.00,110.41,9800,110.41
2007-10-03,111.87,112.31,110.94,112.31,2300,112.31
2007-10-02,110.00,111.52,109.84,110.48,21200,110.48
2007-10-01,107.50,109.65,106.49,109.60,9400,109.60
2007-09-28,108.82,108.94,107.90,107.94,5500,107.94
2007-09-27,107.91,109.09,107.66,108.65,6500,108.65
2007-09-26,108.10,110.00,107.70,108.84,17200,108.84
2007-09-25,104.98,106.07,103.85,105.67,8400,105.67
2007-09-24,101.96,106.28,101.81,105.51,17300,105.51
2007-09-21,99.20,102.29,99.20,102.10,10500,102.10
2007-09-20,100.15,100.28,98.98,100.28,12100,100.28
2007-09-19,101.60,102.67,100.80,101.82,12500,101.82
2007-09-18,100.09,101.09,99.37,100.29,3000,100.29
2007-09-17,99.80,101.00,99.36,99.99,4800,99.99
2007-09-14,99.05,100.28,97.87,99.73,11200,99.73
2007-09-13,98.69,100.10,98.25,99.37,3700,99.37
2007-09-12,97.80,100.24,97.51,99.11,4800,99.11
2007-09-11,99.45,100.59,97.72,98.40,10000,98.40
2007-09-10,95.75,99.34,95.32,97.90,7000,97.90
2007-09-07,98.30,98.98,94.25,95.70,19800,95.70
2007-09-06,100.00,100.70,97.21,98.67,35200,98.67
2007-09-05,106.50,107.30,105.24,105.68,14700,105.68
2007-09-04,102.09,105.62,101.88,105.37,15200,105.37
2007-09-03,102.30,102.30,101.40,102.19,11700,102.19
2007-08-31,100.83,101.96,100.66,101.25,17600,101.25
2007-08-30,98.44,101.26,97.25,100.61,19300,100.61
2007-08-29,93.30,97.32,93.01,96.52,15300,96.52
2007-08-28,97.30,97.30,93.52,94.29,7100,94.29
2007-08-27,98.97,99.07,97.57,97.57,5900,97.57
2007-08-24,96.49,98.69,95.52,98.45,6700,98.45
